날짜,성별,시작연령,종료연령,지역,1인가구(가구),총 가구수(가구),비율(%),전년대비(가구) ±,전년대비(%) ±
2021,남성,전 연령,전 연령,전국,3583770,3583770,100.00,279372,8.45
2021,남성,00,19,전국,25015,3583770,0.70,-10693,-29.95
2021,남성,20,24,전국,217737,3583770,6.08,475,0.22
2021,남성,25,29,전국,480989,3583770,13.42,48100,11.11
2021,남성,30,34,전국,446721,3583770,12.47,52168,13.22
2021,남성,35,39,전국,335937,3583770,9.37,15763,4.92
2021,남성,40,44,전국,299797,3583770,8.37,26882,9.85
2021,남성,45,49,전국,303753,3583770,8.48,4401,1.47
2021,남성,50,54,전국,327702,3583770,9.14,27225,9.06
2021,남성,55,59,전국,309288,3583770,8.63,15068,5.12
2021,남성,60,64,전국,306578,3583770,8.55,36061,13.33
2021,남성,65,69,전국,214596,3583770,5.99,34099,18.89
2021,남성,70,74,전국,132061,3583770,3.68,12933,10.86
2021,남성,75,79,전국,85037,3583770,2.37,5153,6.45
2021,남성,80,84,전국,59133,3583770,1.65,6070,11.44
2021,남성,85,이상,전국,39426,3583770,1.10,5667,16.79
2020,남성,전 연령,전 연령,전국,3304398,3304398,100.00,250665,8.21
2020,남성,00,19,전국,35708,3304398,1.08,7117,24.89
2020,남성,20,24,전국,217262,3304398,6.57,22278,11.43
2020,남성,25,29,전국,432889,3304398,13.10,40993,10.46
2020,남성,30,34,전국,394553,3304398,11.94,40485,11.43
2020,남성,35,39,전국,320174,3304398,9.69,10552,3.41
2020,남성,40,44,전국,272915,3304398,8.26,16716,6.52
2020,남성,45,49,전국,299352,3304398,9.06,5917,2.02
2020,남성,50,54,전국,300477,3304398,9.09,19646,7.00
2020,남성,55,59,전국,294220,3304398,8.90,12619,4.48
2020,남성,60,64,전국,270517,3304398,8.19,27311,11.23
2020,남성,65,69,전국,180497,3304398,5.46,25476,16.43
2020,남성,70,74,전국,119128,3304398,3.61,11379,10.56
2020,남성,75,79,전국,79884,3304398,2.42,2897,3.76
2020,남성,80,84,전국,53063,3304398,1.61,3277,6.58
2020,남성,85,이상,전국,33759,3304398,1.02,4002,13.45
2019,남성,전 연령,전 연령,전국,3053733,3053733,100.00,147413,5.07
2019,남성,00,19,전국,28591,3053733,0.94,968,3.50
2019,남성,20,24,전국,194984,3053733,6.39,11839,6.46
2019,남성,25,29,전국,391896,3053733,12.83,32260,8.97
2019,남성,30,34,전국,354068,3053733,11.59,20250,6.07
2019,남성,35,39,전국,309622,3053733,10.14,6398,2.11
2019,남성,40,44,전국,256199,3053733,8.39,484,0.19
2019,남성,45,49,전국,293435,3053733,9.61,3331,1.15
2019,남성,50,54,전국,280831,3053733,9.20,12720,4.74
2019,남성,55,59,전국,281601,3053733,9.22,6638,2.41
2019,남성,60,64,전국,243206,3053733,7.96,17895,7.94
